frequency,exposure,duty_cycle,video_name,pattern_id,model,unaltered,hidden,misplaced,appeared
25,200,0.1,b1e1a7b8-b397c445,260,faster_rcnn_inception_v2_coco_2018_01_28,446,2,2,2
25,200,0.1,b1e1a7b8-b397c445,300,faster_rcnn_inception_v2_coco_2018_01_28,411,29,10,20
25,200,0.1,b1e1a7b8-b397c445,320,faster_rcnn_inception_v2_coco_2018_01_28,434,12,4,7
25,200,0.1,b1e1a7b8-b397c445,500,faster_rcnn_inception_v2_coco_2018_01_28,448,2,0,0
25,200,0.1,b1e1a7b8-b397c445,260,ssd_inception_v2_coco_2018_01_28,288,4,0,1
25,200,0.1,b1e1a7b8-b397c445,300,ssd_inception_v2_coco_2018_01_28,224,53,15,4
25,200,0.1,b1e1a7b8-b397c445,320,ssd_inception_v2_coco_2018_01_28,292,0,0,4
25,200,0.1,b1e1a7b8-b397c445,500,ssd_inception_v2_coco_2018_01_28,291,1,0,0
25,200,1.0,b1e1a7b8-b397c445,260,faster_rcnn_inception_v2_coco_2018_01_28,172,198,80,16
25,200,1.0,b1e1a7b8-b397c445,300,faster_rcnn_inception_v2_coco_2018_01_28,446,3,1,3
25,200,1.0,b1e1a7b8-b397c445,520,faster_rcnn_inception_v2_coco_2018_01_28,399,12,39,25
25,200,1.0,b1e1a7b8-b397c445,740,faster_rcnn_inception_v2_coco_2018_01_28,372,41,37,18
25,200,1.0,b1e1a7b8-b397c445,260,ssd_inception_v2_coco_2018_01_28,22,268,2,1
25,200,1.0,b1e1a7b8-b397c445,300,ssd_inception_v2_coco_2018_01_28,292,0,0,0
25,200,1.0,b1e1a7b8-b397c445,520,ssd_inception_v2_coco_2018_01_28,255,22,15,7
25,200,1.0,b1e1a7b8-b397c445,740,ssd_inception_v2_coco_2018_01_28,205,68,19,4
25,200,5.0,b1e1a7b8-b397c445,360,faster_rcnn_inception_v2_coco_2018_01_28,202,172,76,25
25,200,5.0,b1e1a7b8-b397c445,560,faster_rcnn_inception_v2_coco_2018_01_28,448,2,0,0
25,200,5.0,b1e1a7b8-b397c445,600,faster_rcnn_inception_v2_coco_2018_01_28,203,158,89,19
25,200,5.0,b1e1a7b8-b397c445,620,faster_rcnn_inception_v2_coco_2018_01_28,366,38,46,57
25,200,5.0,b1e1a7b8-b397c445,360,ssd_inception_v2_coco_2018_01_28,37,252,3,4
25,200,5.0,b1e1a7b8-b397c445,560,ssd_inception_v2_coco_2018_01_28,291,1,0,0
25,200,5.0,b1e1a7b8-b397c445,600,ssd_inception_v2_coco_2018_01_28,48,241,3,0
25,200,5.0,b1e1a7b8-b397c445,620,ssd_inception_v2_coco_2018_01_28,191,70,31,7
25,200,10.0,b1e1a7b8-b397c445,380,faster_rcnn_inception_v2_coco_2018_01_28,440,9,1,2
25,200,10.0,b1e1a7b8-b397c445,540,faster_rcnn_inception_v2_coco_2018_01_28,446,2,2,3
25,200,10.0,b1e1a7b8-b397c445,600,faster_rcnn_inception_v2_coco_2018_01_28,374,32,44,54
25,200,10.0,b1e1a7b8-b397c445,620,faster_rcnn_inception_v2_coco_2018_01_28,436,13,1,1
25,200,10.0,b1e1a7b8-b397c445,380,ssd_inception_v2_coco_2018_01_28,291,1,0,2
25,200,10.0,b1e1a7b8-b397c445,540,ssd_inception_v2_coco_2018_01_28,284,8,0,2
25,200,10.0,b1e1a7b8-b397c445,600,ssd_inception_v2_coco_2018_01_28,201,55,36,8
25,200,10.0,b1e1a7b8-b397c445,620,ssd_inception_v2_coco_2018_01_28,291,1,0,5
25,200,20.0,b1e1a7b8-b397c445,420,faster_rcnn_inception_v2_coco_2018_01_28,446,2,2,2
25,200,20.0,b1e1a7b8-b397c445,500,faster_rcnn_inception_v2_coco_2018_01_28,288,71,91,38
