frequency,exposure,duty_cycle,video_name,pattern_id,model,unaltered,hidden,misplaced,appeared
259,200,20.0,VIRAT_S_010004_01_000163_000188,2,faster_rcnn_inception_v2_coco_2018_01_28,531,73,122,6
511,75,40.0,VIRAT_S_040104_04_000854_000934,2,ssd_inception_v2_coco_2018_01_28,11,718,2,1
511,75,0.1,VIRAT_S_010208_07_000768_000791,7,faster_rcnn_inception_v2_coco_2018_01_28,180,16,0,2
750,200,1.0,VIRAT_S_010110_06_000953_001011,4,ssd_inception_v2_coco_2018_01_28,128,1241,46,13
25,200,20.0,VIRAT_S_050000_02_000404_000486,0,ssd_inception_v2_coco_2018_01_28,337,1060,142,104
25,32,1.0,VIRAT_S_050000_10_001462_001491,1,faster_rcnn_inception_v2_coco_2018_01_28,1038,23,16,1
259,200,20.0,VIRAT_S_010208_10_000904_000991,0,ssd_inception_v2_coco_2018_01_28,35,199,3,0
750,75,0.1,VIRAT_S_040104_04_000854_000934,8,faster_rcnn_inception_v2_coco_2018_01_28,1719,42,29,72
750,75,40.0,VIRAT_S_010208_07_000768_000791,6,faster_rcnn_inception_v2_coco_2018_01_28,122,69,5,51
259,200,0.1,VIRAT_S_050000_10_001462_001491,4,faster_rcnn_inception_v2_coco_2018_01_28,951,90,36,11
511,200,1.0,VIRAT_S_010208_07_000768_000791,6,ssd_inception_v2_coco_2018_01_28,39,17,1,6
750,32,1.0,VIRAT_S_010207_10_001549_001596,1,ssd_inception_v2_coco_2018_01_28,150,1,0,2
750,32,5.0,VIRAT_S_050000_02_000404_000486,7,ssd_inception_v2_coco_2018_01_28,665,826,48,104
25,75,10.0,VIRAT_S_000201_02_000590_000623,7,faster_rcnn_inception_v2_coco_2018_01_28,1974,37,4,11
259,75,10.0,VIRAT_S_010204_07_000942_000989,8,faster_rcnn_inception_v2_coco_2018_01_28,532,32,4,9
750,32,10.0,VIRAT_S_010208_02_000150_000180,1,ssd_inception_v2_coco_2018_01_28,103,4,0,3
750,32,1.0,VIRAT_S_010204_07_000942_000989,6,ssd_inception_v2_coco_2018_01_28,168,6,1,18
511,200,10.0,VIRAT_S_010200_01_000254_000322,6,faster_rcnn_inception_v2_coco_2018_01_28,247,305,9,81
25,200,40.0,VIRAT_S_010208_07_000768_000791,7,faster_rcnn_inception_v2_coco_2018_01_28,189,1,0,32
750,200,20.0,VIRAT_S_040104_04_000854_000934,8,ssd_inception_v2_coco_2018_01_28,10,717,4,1
25,200,1.0,VIRAT_S_010110_06_000953_001011,1,ssd_inception_v2_coco_2018_01_28,1403,10,2,1
25,75,0.1,VIRAT_S_010200_01_000254_000322,3,ssd_inception_v2_coco_2018_01_28,60,5,0,4
25,32,5.0,VIRAT_S_010110_06_000953_001011,7,ssd_inception_v2_coco_2018_01_28,1314,97,4,0
511,32,40.0,VIRAT_S_010201_08_000705_000739,3,ssd_inception_v2_coco_2018_01_28,52,3,1,28
259,200,5.0,VIRAT_S_010204_03_000606_000632,5,faster_rcnn_inception_v2_coco_2018_01_28,156,47,0,0
25,200,1.0,VIRAT_S_050000_02_000404_000486,2,ssd_inception_v2_coco_2018_01_28,841,541,157,48
259,75,5.0,VIRAT_S_010001_03_000537_000563,9,ssd_inception_v2_coco_2018_01_28,51,0,0,5
25,200,20.0,VIRAT_S_010004_01_000163_000188,9,faster_rcnn_inception_v2_coco_2018_01_28,540,134,52,2
750,200,5.0,VIRAT_S_000201_02_000590_000623,1,faster_rcnn_inception_v2_coco_2018_01_28,776,826,413,10
511,75,1.0,VIRAT_S_050000_11_001530_001576,6,ssd_inception_v2_coco_2018_01_28,138,589,59,8
511,32,1.0,VIRAT_S_010004_01_000163_000188,5,ssd_inception_v2_coco_2018_01_28,150,31,0,0
259,32,10.0,VIRAT_S_010005_06_000475_000499,4,ssd_inception_v2_coco_2018_01_28,114,37,43,2
511,32,20.0,VIRAT_S_040103_03_000284_000425,5,faster_rcnn_inception_v2_coco_2018_01_28,3850,198,203,8
25,32,20.0,VIRAT_S_010204_11_001524_001607,8,faster_rcnn_inception_v2_coco_2018_01_28,215,89,0,17
25,200,20.0,VIRAT_S_010001_03_000537_000563,3,ssd_inception_v2_coco_2018_01_28,51,0,0,83
259,75,10.0,VIRAT_S_010205_04_000545_000576,5,ssd_inception_v2_coco_2018_01_28,5,9,0,2
